,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target_1,y_test_1,predicted_1,evja_temp_1,target_2,y_test_2,predicted_2,evja_temp_2,target_3,y_test_3,predicted_3,evja_temp_3,target_4,y_test_4,predicted_4,evja_temp_4,target_5,y_test_5,predicted_5,evja_temp_5,target_6,y_test_6,predicted_6,evja_temp_6,target_7,y_test_7,predicted_7,evja_temp_7
117,117,117,117,117,117,117,16.825,16.825,19.020517,15.2,19.057,19.057,15.006754,18.0,24.812,24.811998,15.978231,27.8,10.058,10.058001,17.590677,9.6,14.059,14.058999,17.74103,12.4,16.902,16.902,16.950811,15.9,18.213,18.212997,22.28465,17.0
118,118,118,118,118,118,118,25.639,25.639,17.680164,25.1,4.166,4.166,16.041832,3.2,19.6,19.6,26.637115,19.2,9.109,9.109001,26.109022,8.0,28.458,28.458,20.734175,26.9,28.14,28.140001,21.9827,28.0,25.178,25.178,19.989569,23.9
119,119,119,119,119,119,119,13.557,13.557,11.042721,11.4,18.149,18.149,15.081753,18.2,14.084,14.084,17.798847,13.9,16.766,16.766,15.740125,16.0,16.165,16.164999,12.65948,14.8,26.917,26.917002,26.433008,25.6,17.476,17.476,18.441051,16.4
120,120,120,120,120,120,120,19.126,19.125998,16.117487,18.6,1.623,1.6230003,14.791644,0.9,26.277,26.276999,11.103196,23.2,16.769,16.769,15.598669,15.8,12.858,12.858,20.1003,12.2,15.919,15.918999,18.535667,15.1,14.385,14.385,15.133936,13.6
121,121,121,121,121,121,121,22.827,22.827,22.92207,22.8,2.662,2.662,9.796519,1.8,29.543,29.543,20.712406,31.7,10.409,10.409,16.892408,9.8,12.82,12.82,18.763103,11.8,13.696,13.696,17.92694,12.6,27.473,27.473,18.80041,26.8
122,122,122,122,122,122,122,8.241,8.241,14.900568,7.1,5.462,5.462,7.504722,4.4,16.192,16.192,16.856417,15.9,15.5,15.499999,17.505888,14.5,22.946,22.946001,13.676232,19.9,19.859,19.859001,19.08355,18.5,11.314,11.313999,10.566015,10.0
123,123,123,123,123,123,123,20.116,20.115995,19.437294,19.9,29.05,29.05,15.190511,31.2,6.734,6.734,18.432035,5.5,15.284,15.283999,16.690294,14.9,11.579,11.579,15.433062,9.5,14.31,14.31,11.427956,13.3,8.037,8.037,14.585567,5.8
124,124,124,124,124,124,124,28.836,28.836002,17.973146,32.3,12.29,12.290001,15.72239,11.6,27.117,27.117,17.124252,26.1,14.785,14.785,16.070084,13.6,14.279,14.279,13.037188,13.9,18.564,18.564,18.87619,19.5,8.543,8.543001,14.966995,6.6
125,125,125,125,125,125,125,31.871,31.870998,9.003619,29.5,29.51,29.51,19.07431,30.4,26.937,26.937,14.417548,25.6,25.984,25.984,30.90328,20.1,17.22,17.22,18.198547,16.8,11.843,11.843,15.383966,11.1,14.349,14.349,14.196288,13.8
126,126,126,126,126,126,126,6.293,6.293,13.9089985,5.3,25.422,25.422,22.05745,25.2,18.148,18.148,16.704533,17.1,16.42,16.42,17.15493,15.2,29.607,29.607,21.663687,31.4,24.249,24.249002,22.993055,23.2,22.69,22.69,17.986763,22.9
127,127,127,127,127,127,127,27.644,27.644001,20.98315,28.1,2.565,2.565,14.150124,1.3,3.973,3.973,13.293865,3.0,16.637,16.637,13.104339,14.1,18.383,18.383,16.331976,17.4,11.704,11.704,18.495852,10.1,11.992,11.992,15.667781,10.9
128,128,128,128,128,128,128,11.845,11.845001,13.690272,11.0,15.263,15.2630005,14.732425,14.6,12.201,12.201001,21.793215,11.8,17.861,17.860998,20.94222,17.1,29.31,29.31,19.19408,27.3,18.24,18.24,15.117377,17.2,18.285,18.285,20.66645,17.8
129,129,129,129,129,129,129,11.23,11.23,16.37466,10.4,11.833,11.833002,13.950714,11.0,13.826,13.826,20.025185,12.5,29.212,29.212,31.157812,29.7,12.52,12.52,14.125322,12.2,29.363,29.363003,21.51682,27.3,12.109,12.109,18.679222,10.9
130,130,130,130,130,130,130,28.793,28.793,22.970514,27.5,12.71,12.71,17.261488,11.5,7.007,7.007,13.156204,5.8,25.325,25.325,17.431969,22.3,19.857,19.857,20.070528,18.5,15.006,15.006,19.384016,14.1,25.31,25.31,16.903399,24.8
131,131,131,131,131,131,131,14.919,14.919,18.567677,14.1,13.825,13.825001,17.776308,13.1,30.952,30.952002,22.03792,31.8,13.117,13.117,22.641499,12.6,1.379,1.3790001,10.253277,-0.8,0.925,0.9250001,9.301885,-1.2,27.083,27.083,20.396072,25.8
132,132,132,132,132,132,132,20.734,20.733997,19.967388,20.0,24.773,24.773,16.389795,22.6,17.354,17.354,13.996274,17.6,29.928,29.928,17.51588,26.9,6.9,6.9,16.735525,5.5,16.123,16.123,17.506933,15.6,11.658,11.658,14.518085,11.2
133,133,133,133,133,133,133,18.164,18.164001,15.786955,17.3,7.846,7.846,12.850919,6.9,16.978,16.978003,21.376251,15.3,4.922,4.922,13.941721,4.2,23.33,23.33,10.553849,22.4,29.237,29.237001,15.789975,28.5,13.16,13.16,15.134797,12.1
134,134,134,134,134,134,134,19.56,19.56,19.828636,18.9,6.526,6.526,9.800278,5.4,7.04,7.0399995,15.540495,5.8,25.536,25.536,18.796436,24.8,16.667,16.667,17.419819,15.0,7.25,7.25,15.102153,5.6,23.402,23.402,17.889496,23.1
